敏感词,分类代码,分类说明
123456yy.com,A.1,违反核心价值观(淫秽色情/低俗)
17173jw.com,A.3,商业违法违规(网络黑产/外挂)
18摸,A.1,违反核心价值观(淫秽色情/低俗)
2010年春晚节目单,A.1,违反核心价值观(政治敏感/谣言)
3P,A.1,违反核心价值观(淫秽色情/低俗)
4.25事件,A.1,违反核心价值观(政治敏感/反动)
5.12地震,A.1,违反核心价值观(社会民生/敏感事件)
6.4事件,A.1,违反核心价值观(政治敏感/历史事件)
64惨案,A.1,违反核心价值观(政治敏感/历史事件)
64纪念,A.1,违反核心价值观(政治敏感/历史事件)
64民运,A.1,违反核心价值观(政治敏感/历史事件)
64死难者,A.1,违反核心价值观(政治敏感/历史事件)
64屠杀,A.1,违反核心价值观(政治敏感/历史事件)
64真相,A.1,违反核心价值观(政治敏感/历史事件)
7.5事件,A.1,违反核心价值观(政治敏感/社会事件)
8964,A.1,违反核心价值观(政治敏感/历史事件)
89学潮,A.1,违反核心价值观(政治敏感/历史事件)
9.13事件,A.1,违反核心价值观(政治敏感/历史事件)
A片,A.1,违反核心价值观(淫秽色情/低俗)
Admin,A.3,商业违法违规(网络安全/黑产)
AIDS,A.1,违反核心价值观(特定病患/社会歧视风险)
AK47,A.3,商业违法违规(违禁品/枪支)
AV,A.1,违反核心价值观(淫秽色情/低俗)
AV女优,A.1,违反核心价值观(淫秽色情/低俗)
BlowJobs,A.1,违反核心价值观(淫秽色情/低俗)
B样,A.2,包含歧视性内容(侮辱谩骂)
C4炸药,A.3,商业违法违规(违禁品/爆炸物)
CAO你,A.2,包含歧视性内容(侮辱谩骂)
CNC,A.5,无法满足特定服务类型的安全需求(敏感缩写/网络术语)
CS,A.5,无法满足特定服务类型的安全需求(游戏/网络术语)
DaLai,A.1,违反核心价值观(政治敏感/分裂国家)
DICK,A.1,违反核心价值观(淫秽色情/低俗)
DIY原子弹,A.3,商业违法违规(违禁品/武器制造)
Falun,A.1,违反核心价值观(邪教/法轮功)
Fuck,A.2,包含歧视性内容(侮辱谩骂)
GAMEMASTER,A.3,商业违法违规(网络游戏/黑产)
GCD,A.1,违反核心价值观(政治敏感/党政)
GHB,A.3,商业违法违规(违禁品/迷药毒品)
GM,A.3,商业违法违规(网络游戏/黑产)
HIV,A.1,违反核心价值观(特定病患/社会歧视风险)
H网,A.1,违反核心价值观(淫秽色情/低俗)
J8,A.1,违反核心价值观(淫秽色情/低俗)
JB,A.1,违反核心价值观(淫秽色情/低俗)
K粉,A.3,商业违法违规(违禁品/毒品)
Lihongzhi,A.1,违反核心价值观(邪教/法轮功)
MAKINGLOVE,A.1,违反核心价值观(淫秽色情/低俗)
MDMA,A.3,商业违法违规(违禁品/毒品)
MM,A.1,违反核心价值观(淫秽色情/低俗暗示)
NPC,A.5,无法满足特定服务类型的安全需求(游戏术语/可能误伤)
PK,A.5,无法满足特定服务类型的安全需求(竞争/可能误伤)
PLAYBOY,A.1,违反核心价值观(淫秽色情/低俗)
Porn,A.1,违反核心价值观(淫秽色情/低俗)
QQ刷钻,A.3,商业违法违规(网络黑产/欺诈)
Rape,A.1,违反核心价值观(暴力/淫秽色情)
SB,A.2,包含歧视性内容(侮辱谩骂)
SEX,A.1,违反核心价值观(淫秽色情/低俗)
SF,A.3,商业违法违规(网络黑产/私服)
SM,A.1,违反核心价值观(淫秽色情/变态)
TMD,A.2,包含歧视性内容(侮辱谩骂)
TNT,A.3,商业违法违规(违禁品/爆炸物)
Tibet,A.1,违反核心价值观(政治敏感/分裂国家)
Vip,A.5,无法满足特定服务类型的安全需求(通用词/可能误伤)
VOA,A.1,违反核心价值观(政治敏感/境外媒体)
WG,A.3,商业违法违规(网络黑产/外挂)
WWW,A.5,无法满足特定服务类型的安全需求(网址/可能误伤)
XJP,A.1,违反核心价值观(政治敏感/领导人)
X教,A.1,违反核心价值观(邪教)
ZhuRongji,A.1,违反核心价值观(政治敏感/领导人)
bitch,A.2,包含歧视性内容(侮辱谩骂)
cao,A.2,包含歧视性内容(侮辱谩骂)
cctv,A.1,违反核心价值观(政治敏感/媒体)
falungong,A.1,违反核心价值观(邪教/法轮功)
fuck,A.2,包含歧视性内容(侮辱谩骂)
gcd,A.1,违反核心价值观(政治敏感/党政)
gm,A.3,商业违法违规(网络游戏/黑产)
heroin,A.3,商业违法违规(违禁品/毒品)
hujintao,A.1,违反核心价值观(政治敏感/领导人)
incest,A.1,违反核心价值观(淫秽色情/乱伦)
jiangzemin,A.1,违反核心价值观(政治敏感/领导人)
jiba,A.1,违反核心价值观(淫秽色情/低俗)
kefu,A.3,商业违法违规(商业垃圾/客服)
ketamine,A.3,商业违法违规(违禁品/毒品)
lihongzhi,A.1,违反核心价值观(邪教/法轮功)
maozedong,A.1,违反核心价值观(政治敏感/领导人)
minghui,A.1,违反核心价值观(邪教/法轮功)
naked,A.1,违反核心价值观(淫秽色情/低俗)
nudity,A.1,违反核心价值观(淫秽色情/低俗)
penis,A.1,违反核心价值观(淫秽色情/低俗)
pussy,A.1,违反核心价值观(淫秽色情/低俗)
sex,A.1,违反核心价值观(淫秽色情/低俗)
shit,A.2,包含歧视性内容(侮辱谩骂)
tiananmen,A.1,违反核心价值观(政治敏感/历史事件)
wenjiabao,A.1,违反核心价值观(政治敏感/领导人)
xijinping,A.1,违反核心价值观(政治敏感/领导人)
zhuanfalun,A.1,违反核心价值观(邪教/法轮功)
一中一台,A.1,违反核心价值观(政治敏感/分裂国家)
一夜情,A.1,违反核心价值观(淫秽色情/低俗)
一党专政,A.1,违反核心价值观(政治敏感/反动)
一律删帖,A.1,违反核心价值观(政治敏感/言论控制)
万税,A.1,违反核心价值观(政治敏感/社会讽刺)
三k党,A.1,违反核心价值观(政治敏感/反动组织)
三个代表,A.1,违反核心价值观(政治敏感/党政)
三唑仑,A.3,商业违法违规(违禁品/毒品)
三级片,A.1,违反核心价值观(淫秽色情/低俗)
三退,A.1,违反核心价值观(邪教/法轮功)
三陪,A.1,违反核心价值观(淫秽色情/非法服务)
上访,A.1,违反核心价值观(社会民生/维权)
下台,A.1,违反核心价值观(政治敏感/反动)
不含糊,A.5,无法满足特定服务类型的安全需求(通用词)
专业代考,A.3,商业违法违规(欺诈/考试作弊)
专业办证,A.3,商业违法违规(欺诈/伪造证件)
专业开发票,A.3,商业违法违规(欺诈/非法财务)
世界维吾尔代表大会,A.1,违反核心价值观(政治敏感/分裂国家)
东突,A.1,违反核心价值观(政治敏感/恐怖主义)
东突厥斯坦,A.1,违反核心价值观(政治敏感/恐怖主义)
东方红时空,A.1,违反核心价值观(政治敏感/历史)
严家其,A.1,违反核心价值观(政治敏感/异见人士)
个税,A.5,无法满足特定服务类型的安全需求(通用词/民生)
中俄边界,A.1,违反核心价值观(政治敏感/外交)
中共,A.1,违反核心价值观(政治敏感/党政)
中共中央,A.1,违反核心价值观(政治敏感/党政)
中共腐败,A.1,违反核心价值观(政治敏感/反动)
中功,A.1,违反核心价值观(邪教)
中国共产党,A.1,违反核心价值观(政治敏感/党政)
中国威胁论,A.1,违反核心价值观(政治敏感/反动)
中国工党,A.1,违反核心价值观(政治敏感/非法组织)
中国政府,A.1,违反核心价值观(政治敏感/党政)
中国民主党,A.1,违反核心价值观(政治敏感/非法组织)
中国猪,A.2,包含歧视性内容(民族歧视)
中国社会进步党,A.1,违反核心价值观(政治敏感/非法组织)
中国移动,A.5,无法满足特定服务类型的安全需求(企业名/可能误伤)
中华民国,A.1,违反核心价值观(政治敏感/分裂国家)
中组部,A.1,违反核心价值观(政治敏感/党政)
中宣部,A.1,违反核心价值观(政治敏感/党政)
中南海,A.1,违反核心价值观(政治敏感/地名)
中央电视台,A.1,违反核心价值观(政治敏感/媒体)
丰胸,A.1,违反核心价值观(淫秽色情/医疗广告)
临沂电警棍专卖,A.3,商业违法违规(违禁品/警用器材)
丹增嘉措,A.1,违反核心价值观(政治敏感/达赖喇嘛)
丽春院,A.1,违反核心价值观(淫秽色情/低俗)
主神教,A.1,违反核心价值观(邪教)
九评,A.1,违反核心价值观(邪教/反动宣传)
九评共产党,A.1,违反核心价值观(邪教/反动宣传)
习近平,A.1,违反核心价值观(政治敏感/领导人)
